LECROYWS3034z,45662,Waveform
Segments,1,SegmentSize,80002
Segment,TrigTime,TimeSinceSegment1
#1,25-Sep-2022 03:35:14,0                 
Time,Ampl
-9.360099e-006,-0.8731
-9.359849e-006,-0.8731
-9.359599e-006,-0.8731
-9.359349e-006,-0.8731
-9.359099e-006,-0.873033
-9.358849e-006,-0.873033
-9.358599e-006,-0.8729
-9.358349e-006,-0.872967
-9.358099e-006,-0.872967
-9.357849e-006,-0.872967
-9.357599e-006,-0.8729
-9.357349e-006,-0.872967
-9.357099e-006,-0.872967
-9.356849e-006,-0.872967
-9.356599e-006,-0.8729
-9.356349e-006,-0.872967
-9.356099e-006,-0.873033
-9.355849e-006,-0.872967
-9.355599e-006,-0.8729
-9.355349e-006,-0.872967
-9.355099e-006,-0.8729
-9.354849e-006,-0.872967
-9.354599e-006,-0.8729
-9.354349e-006,-0.8729
-9.354099e-006,-0.8729
-9.353849e-006,-0.872833
-9.353599e-006,-0.872833
-9.353349e-006,-0.8729
-9.353099e-006,-0.872967
-9.352849e-006,-0.872967
-9.352599e-006,-0.872967
-9.352349e-006,-0.872967
-9.352099e-006,-0.872967
-9.351849e-006,-0.872967
-9.351599e-006,-0.872967
-9.351349e-006,-0.872967
-9.351099e-006,-0.872967
-9.350849e-006,-0.872967
-9.350599e-006,-0.8729
-9.350349e-006,-0.872967
-9.350099e-006,-0.872967
-9.349849e-006,-0.872967
-9.349599e-006,-0.873033
-9.349349e-006,-0.873033
-9.349099e-006,-0.873033
-9.348849e-006,-0.872967
-9.348599e-006,-0.873033
-9.348349e-006,-0.873033
-9.348099e-006,-0.873033
-9.347849e-006,-0.872967
-9.347599e-006,-0.8729
-9.347349e-006,-0.872967
-9.347099e-006,-0.872967
-9.346849e-006,-0.872967
-9.346599e-006,-0.8729
-9.346349e-006,-0.872967
-9.346099e-006,-0.8729
-9.345849e-006,-0.8729
-9.345599e-006,-0.8729
-9.345349e-006,-0.872967
-9.345099e-006,-0.872967
-9.344849e-006,-0.872967
-9.344599e-006,-0.8729
-9.344349e-006,-0.872967
-9.344099e-006,-0.872967
-9.343849e-006,-0.8729
-9.343599e-006,-0.8729
-9.343349e-006,-0.872967
-9.343099e-006,-0.872967
-9.342849e-006,-0.872967
-9.342599e-006,-0.873033
-9.342349e-006,-0.873033
-9.342099e-006,-0.873033
-9.341849e-006,-0.872967
-9.341599e-006,-0.8729
-9.341349e-006,-0.872967
-9.341099e-006,-0.872967
-9.340849e-006,-0.872967
-9.340599e-006,-0.872967
-9.340349e-006,-0.873033
-9.340099e-006,-0.873167
-9.339849e-006,-0.8731
-9.339599e-006,-0.873033
-9.339349e-006,-0.872967
-9.339099e-006,-0.872967
-9.338849e-006,-0.8729
-9.338599e-006,-0.8729
-9.338349e-006,-0.872967
-9.338099e-006,-0.872967
-9.337849e-006,-0.872967
-9.337599e-006,-0.8729
-9.337349e-006,-0.872967
-9.337099e-006,-0.872967
-9.336849e-006,-0.872967
-9.336599e-006,-0.8729
-9.336349e-006,-0.8729
-9.336099e-006,-0.8729
-9.335849e-006,-0.8729
-9.335599e-006,-0.8729
-9.335349e-006,-0.872967
-9.335099e-006,-0.872967
-9.334849e-006,-0.8729
-9.334599e-006,-0.8729
-9.334349e-006,-0.872967
-9.334099e-006,-0.872967
-9.333849e-006,-0.872967
-9.333599e-006,-0.8729
-9.333349e-006,-0.8729
-9.333099e-006,-0.8729
-9.332849e-006,-0.872967
-9.332599e-006,-0.873033
-9.332349e-006,-0.873033
-9.332099e-006,-0.8731
-9.331849e-006,-0.8731
-9.331599e-006,-0.873033
-9.331349e-006,-0.873033
-9.331099e-006,-0.873033
-9.330849e-006,-0.872967
-9.330599e-006,-0.8729
-9.330349e-006,-0.872967
-9.330099e-006,-0.873033
-9.329849e-006,-0.872967
-9.329599e-006,-0.872967
-9.329349e-006,-0.873033
-9.329099e-006,-0.873033
-9.328849e-006,-0.872967
-9.328599e-006,-0.8729
-9.328349e-006,-0.872967
-9.328099e-006,-0.872967
-9.327849e-006,-0.872967
-9.327599e-006,-0.8729
-9.327349e-006,-0.872967
-9.327099e-006,-0.872967
-9.326849e-006,-0.8729
-9.326599e-006,-0.8729
-9.326349e-006,-0.872967
-9.326099e-006,-0.872967
-9.325849e-006,-0.872967
-9.325599e-006,-0.8729
-9.325349e-006,-0.872967
-9.325099e-006,-0.872967
-9.324849e-006,-0.872967
-9.324599e-006,-0.872967
-9.324349e-006,-0.872967
-9.324099e-006,-0.872967
-9.323849e-006,-0.872967
-9.323599e-006,-0.8729
-9.323349e-006,-0.872967
-9.323099e-006,-0.873033
-9.322849e-006,-0.8731
-9.322599e-006,-0.8731
-9.322349e-006,-0.872967
-9.322099e-006,-0.873033
-9.321849e-006,-0.873033
-9.321599e-006,-0.8731
-9.321349e-006,-0.8731
-9.321099e-006,-0.873033
-9.320849e-006,-0.873033
-9.320599e-006,-0.872967
-9.320349e-006,-0.873033
-9.320099e-006,-0.8731
-9.319849e-006,-0.8731
-9.319599e-006,-0.873033
-9.319349e-006,-0.873033
-9.319099e-006,-0.8731
-9.318849e-006,-0.8731
-9.318599e-006,-0.873167
-9.318349e-006,-0.8731
-9.318099e-006,-0.8731
-9.317849e-006,-0.8731
-9.317599e-006,-0.8731
-9.317349e-006,-0.873033
-9.317099e-006,-0.872967
-9.316849e-006,-0.872967
-9.316599e-006,-0.8729
-9.316349e-006,-0.872967
-9.316099e-006,-0.872967
-9.315849e-006,-0.8729
-9.315599e-006,-0.872833
-9.315349e-006,-0.872833
-9.315099e-006,-0.8729
-9.314849e-006,-0.8729
-9.314599e-006,-0.8729
-9.314349e-006,-0.8729
-9.314099e-006,-0.872967
-9.313849e-006,-0.872967
-9.313599e-006,-0.872967
-9.313349e-006,-0.872967
-9.313099e-006,-0.872967
-9.312849e-006,-0.872967
-9.312599e-006,-0.8729
-9.312349e-006,-0.872967
