LECROYWS3034z,45662,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,25-Sep-2022 04:18:17,0                 
Time,Ampl
-5.0000649e-005,-0.875167
-4.9999649e-005,-0.875167
-4.9998649e-005,-0.875167
-4.9997649e-005,-0.876833
-4.9996649e-005,-0.876833
-4.9995649e-005,-0.876833
-4.9994649e-005,-0.876833
-4.9993649e-005,-0.876833
-4.9992649e-005,-0.876833
-4.9991649e-005,-0.876833
-4.9990649e-005,-0.876833
-4.9989649e-005,-0.876833
-4.9988649e-005,-0.876833
-4.9987649e-005,-0.876833
-4.9986649e-005,-0.875167
-4.9985649e-005,-0.876833
-4.9984649e-005,-0.876833
-4.9983649e-005,-0.876833
-4.9982649e-005,-0.875167
-4.9981649e-005,-0.876833
-4.9980649e-005,-0.876833
-4.9979649e-005,-0.876833
-4.9978649e-005,-0.876833
-4.9977649e-005,-0.876833
-4.9976649e-005,-0.876833
-4.9975649e-005,-0.876833
-4.9974649e-005,-0.875167
-4.9973649e-005,-0.875167
-4.9972649e-005,-0.875167
-4.9971649e-005,-0.875167
-4.9970649e-005,-0.875167
-4.9969649e-005,-0.875167
-4.9968649e-005,-0.875167
-4.9967649e-005,-0.876833
-4.9966649e-005,-0.876833
-4.9965649e-005,-0.876833
-4.9964649e-005,-0.876833
-4.9963649e-005,-0.876833
-4.9962649e-005,-0.876833
-4.9961649e-005,-0.876833
-4.9960649e-005,-0.875167
-4.9959649e-005,-0.875167
-4.9958649e-005,-0.875167
-4.9957649e-005,-0.875167
-4.9956649e-005,-0.875167
-4.9955649e-005,-0.875167
-4.9954649e-005,-0.875167
-4.9953649e-005,-0.876833
-4.9952649e-005,-0.876833
-4.9951649e-005,-0.876833
-4.9950649e-005,-0.876833
-4.9949649e-005,-0.876833
-4.9948649e-005,-0.876833
-4.9947649e-005,-0.876833
-4.9946649e-005,-0.876833
-4.9945649e-005,-0.876833
-4.9944649e-005,-0.876833
-4.9943649e-005,-0.876833
-4.9942649e-005,-0.876833
-4.9941649e-005,-0.876833
-4.9940649e-005,-0.876833
-4.9939649e-005,-0.876833
-4.9938649e-005,-0.876833
-4.9937649e-005,-0.876833
-4.9936649e-005,-0.876833
-4.9935649e-005,-0.876833
-4.9934649e-005,-0.876833
-4.9933649e-005,-0.876833
-4.9932649e-005,-0.876833
-4.9931649e-005,-0.876833
-4.9930649e-005,-0.876833
-4.9929649e-005,-0.876833
-4.9928649e-005,-0.876833
-4.9927649e-005,-0.876833
-4.9926649e-005,-0.876833
-4.9925649e-005,-0.876833
-4.9924649e-005,-0.876833
-4.9923649e-005,-0.876833
-4.9922649e-005,-0.876833
-4.9921649e-005,-0.876833
-4.9920649e-005,-0.876833
-4.9919649e-005,-0.876833
-4.9918649e-005,-0.876833
-4.9917649e-005,-0.876833
-4.9916649e-005,-0.876833
-4.9915649e-005,-0.876833
-4.9914649e-005,-0.876833
-4.9913649e-005,-0.876833
-4.9912649e-005,-0.876833
-4.9911649e-005,-0.876833
-4.9910649e-005,-0.876833
-4.9909649e-005,-0.876833
-4.9908649e-005,-0.875167
-4.9907649e-005,-0.875167
-4.9906649e-005,-0.875167
-4.9905649e-005,-0.875167
-4.9904649e-005,-0.875167
-4.9903649e-005,-0.875167
-4.9902649e-005,-0.875167
-4.9901649e-005,-0.875167
-4.9900649e-005,-0.875167
-4.9899649e-005,-0.875167
-4.9898649e-005,-0.875167
-4.9897649e-005,-0.875167
-4.9896649e-005,-0.876833
-4.9895649e-005,-0.876833
-4.9894649e-005,-0.876833
-4.9893649e-005,-0.876833
-4.9892649e-005,-0.876833
-4.9891649e-005,-0.876833
-4.9890649e-005,-0.876833
-4.9889649e-005,-0.876833
-4.9888649e-005,-0.876833
-4.9887649e-005,-0.875167
-4.9886649e-005,-0.875167
-4.9885649e-005,-0.875167
-4.9884649e-005,-0.876833
-4.9883649e-005,-0.876833
-4.9882649e-005,-0.876833
-4.9881649e-005,-0.876833
-4.9880649e-005,-0.876833
-4.9879649e-005,-0.876833
-4.9878649e-005,-0.875167
-4.9877649e-005,-0.875167
-4.9876649e-005,-0.875167
-4.9875649e-005,-0.875167
-4.9874649e-005,-0.875167
-4.9873649e-005,-0.875167
-4.9872649e-005,-0.876833
-4.9871649e-005,-0.876833
-4.9870649e-005,-0.876833
-4.9869649e-005,-0.876833
-4.9868649e-005,-0.876833
-4.9867649e-005,-0.876833
-4.9866649e-005,-0.876833
-4.9865649e-005,-0.876833
-4.9864649e-005,-0.876833
-4.9863649e-005,-0.876833
-4.9862649e-005,-0.876833
-4.9861649e-005,-0.876833
-4.9860649e-005,-0.876833
-4.9859649e-005,-0.876833
-4.9858649e-005,-0.876833
-4.9857649e-005,-0.876833
-4.9856649e-005,-0.875167
-4.9855649e-005,-0.876833
-4.9854649e-005,-0.876833
-4.9853649e-005,-0.876833
-4.9852649e-005,-0.876833
-4.9851649e-005,-0.876833
-4.9850649e-005,-0.876833
-4.9849649e-005,-0.876833
-4.9848649e-005,-0.876833
-4.9847649e-005,-0.876833
-4.9846649e-005,-0.876833
-4.9845649e-005,-0.876833
-4.9844649e-005,-0.876833
-4.9843649e-005,-0.876833
-4.9842649e-005,-0.876833
-4.9841649e-005,-0.876833
-4.9840649e-005,-0.876833
-4.9839649e-005,-0.876833
-4.9838649e-005,-0.876833
-4.9837649e-005,-0.876833
-4.9836649e-005,-0.876833
-4.9835649e-005,-0.876833
-4.9834649e-005,-0.875167
-4.9833649e-005,-0.876833
-4.9832649e-005,-0.876833
-4.9831649e-005,-0.876833
-4.9830649e-005,-0.876833
-4.9829649e-005,-0.876833
-4.9828649e-005,-0.876833
-4.9827649e-005,-0.876833
-4.9826649e-005,-0.876833
-4.9825649e-005,-0.876833
-4.9824649e-005,-0.876833
-4.9823649e-005,-0.876833
-4.9822649e-005,-0.876833
-4.9821649e-005,-0.876833
-4.9820649e-005,-0.876833
-4.9819649e-005,-0.876833
-4.9818649e-005,-0.876833
-4.9817649e-005,-0.876833
-4.9816649e-005,-0.876833
-4.9815649e-005,-0.876833
-4.9814649e-005,-0.876833
-4.9813649e-005,-0.876833
-4.9812649e-005,-0.876833
-4.9811649e-005,-0.876833
-4.9810649e-005,-0.875167
-4.9809649e-005,-0.875167
-4.9808649e-005,-0.875167
-4.9807649e-005,-0.875167
-4.9806649e-005,-0.876833
-4.9805649e-005,-0.876833
-4.9804649e-005,-0.876833
-4.9803649e-005,-0.876833
-4.9802649e-005,-0.876833
-4.9801649e-005,-0.876833
-4.9800649e-005,-0.876833
-4.9799649e-005,-0.876833
-4.9798649e-005,-0.876833
-4.9797649e-005,-0.876833
-4.9796649e-005,-0.876833
-4.9795649e-005,-0.876833
-4.9794649e-005,-0.875167
-4.9793649e-005,-0.875167
-4.9792649e-005,-0.875167
-4.9791649e-005,-0.875167
-4.9790649e-005,-0.875167
-4.9789649e-005,-0.875167
-4.9788649e-005,-0.876833
-4.9787649e-005,-0.876833
-4.9786649e-005,-0.876833
-4.9785649e-005,-0.876833
-4.9784649e-005,-0.876833
-4.9783649e-005,-0.876833
-4.9782649e-005,-0.876833
-4.9781649e-005,-0.875167
-4.9780649e-005,-0.875167
-4.9779649e-005,-0.876833
-4.9778649e-005,-0.876833
-4.9777649e-005,-0.876833
-4.9776649e-005,-0.876833
-4.9775649e-005,-0.876833
-4.9774649e-005,-0.876833
-4.9773649e-005,-0.876833
-4.9772649e-005,-0.875167
-4.9771649e-005,-0.875167
-4.9770649e-005,-0.876833
-4.9769649e-005,-0.876833
-4.9768649e-005,-0.876833
-4.9767649e-005,-0.876833
-4.9766649e-005,-0.876833
-4.9765649e-005,-0.876833
-4.9764649e-005,-0.876833
-4.9763649e-005,-0.876833
-4.9762649e-005,-0.876833
-4.9761649e-005,-0.876833
-4.9760649e-005,-0.876833
-4.9759649e-005,-0.876833
-4.9758649e-005,-0.876833
-4.9757649e-005,-0.876833
-4.9756649e-005,-0.876833
-4.9755649e-005,-0.876833
-4.9754649e-005,-0.876833
-4.9753649e-005,-0.876833
-4.9752649e-005,-0.876833
-4.9751649e-005,-0.876833
-4.9750649e-005,-0.876833
-4.9749649e-005,-0.876833
-4.9748649e-005,-0.875167
-4.9747649e-005,-0.875167
-4.9746649e-005,-0.875167
-4.9745649e-005,-0.875167
-4.9744649e-005,-0.875167
-4.9743649e-005,-0.875167
-4.9742649e-005,-0.875167
-4.9741649e-005,-0.875167
-4.9740649e-005,-0.875167
-4.9739649e-005,-0.875167
-4.9738649e-005,-0.875167
-4.9737649e-005,-0.875167
-4.9736649e-005,-0.876833
-4.9735649e-005,-0.876833
-4.9734649e-005,-0.876833
-4.9733649e-005,-0.876833
-4.9732649e-005,-0.876833
-4.9731649e-005,-0.875167
-4.9730649e-005,-0.876833
-4.9729649e-005,-0.876833
-4.9728649e-005,-0.876833
-4.9727649e-005,-0.876833
-4.9726649e-005,-0.876833
-4.9725649e-005,-0.876833
-4.9724649e-005,-0.876833
-4.9723649e-005,-0.876833
-4.9722649e-005,-0.876833
-4.9721649e-005,-0.876833
-4.9720649e-005,-0.876833
-4.9719649e-005,-0.876833
-4.9718649e-005,-0.876833
-4.9717649e-005,-0.876833
