LECROYWS3034z,45662,Waveform
Segments,1,SegmentSize,8002
Segment,TrigTime,TimeSinceSegment1
#1,15-Sep-2022 16:48:23,0                 
Time,Ampl
-1.000109e-006,-1.609
-9.99859e-007,-1.60833
-9.99609e-007,-1.60833
-9.99359e-007,-1.609
-9.99109e-007,-1.609
-9.98859e-007,-1.60833
-9.98609e-007,-1.60833
-9.98359e-007,-1.609
-9.98109e-007,-1.609
-9.97859e-007,-1.60833
-9.97609e-007,-1.60833
-9.97359e-007,-1.609
-9.97109e-007,-1.609
-9.96859e-007,-1.609
-9.96609e-007,-1.60833
-9.96359e-007,-1.609
-9.96109e-007,-1.609
-9.95859e-007,-1.609
-9.95609e-007,-1.60833
-9.95359e-007,-1.609
-9.95109e-007,-1.609
-9.94859e-007,-1.609
-9.94609e-007,-1.60833
-9.94359e-007,-1.609
-9.94109e-007,-1.60833
-9.93859e-007,-1.60833
-9.93609e-007,-1.60833
-9.93359e-007,-1.609
-9.93109e-007,-1.60833
-9.92859e-007,-1.60833
-9.92609e-007,-1.60833
-9.92359e-007,-1.609
-9.92109e-007,-1.60833
-9.91859e-007,-1.60833
-9.91609e-007,-1.60833
-9.91359e-007,-1.609
-9.91109e-007,-1.609
-9.90859e-007,-1.60833
-9.90609e-007,-1.60833
-9.90359e-007,-1.609
-9.90109e-007,-1.609
-9.89859e-007,-1.60833
-9.89609e-007,-1.60833
-9.89359e-007,-1.609
-9.89109e-007,-1.609
-9.88859e-007,-1.60833
-9.88609e-007,-1.60833
-9.88359e-007,-1.609
-9.88109e-007,-1.609
-9.87859e-007,-1.60833
-9.87609e-007,-1.60833
-9.87359e-007,-1.609
-9.87109e-007,-1.609
-9.86859e-007,-1.60833
-9.86609e-007,-1.60833
-9.86359e-007,-1.609
-9.86109e-007,-1.609
-9.85859e-007,-1.609
-9.85609e-007,-1.609
-9.85359e-007,-1.609
-9.85109e-007,-1.609
-9.84859e-007,-1.609
-9.84609e-007,-1.609
-9.84359e-007,-1.609
-9.84109e-007,-1.609
-9.83859e-007,-1.609
-9.83609e-007,-1.609
-9.83359e-007,-1.609
-9.83109e-007,-1.609
-9.82859e-007,-1.60833
-9.82609e-007,-1.609
-9.82359e-007,-1.609
-9.82109e-007,-1.609
-9.81859e-007,-1.609
-9.81609e-007,-1.609
-9.81359e-007,-1.609
-9.81109e-007,-1.60833
-9.80859e-007,-1.60833
-9.80609e-007,-1.609
-9.80359e-007,-1.609
-9.80109e-007,-1.60833
-9.79859e-007,-1.60833
-9.79609e-007,-1.609
-9.79359e-007,-1.609
-9.79109e-007,-1.609
-9.78859e-007,-1.60833
-9.78609e-007,-1.60833
-9.78359e-007,-1.609
-9.78109e-007,-1.609
-9.77859e-007,-1.60833
-9.77609e-007,-1.609
-9.77359e-007,-1.609
-9.77109e-007,-1.609
-9.76859e-007,-1.60833
-9.76609e-007,-1.609
-9.76359e-007,-1.609
-9.76109e-007,-1.609
-9.75859e-007,-1.60833
-9.75609e-007,-1.60833
-9.75359e-007,-1.609
-9.75109e-007,-1.609
-9.74859e-007,-1.60833
-9.74609e-007,-1.60833
-9.74359e-007,-1.609
-9.74109e-007,-1.60833
-9.73859e-007,-1.60833
-9.73609e-007,-1.60833
-9.73359e-007,-1.609
-9.73109e-007,-1.60833
-9.72859e-007,-1.60833
-9.72609e-007,-1.60833
-9.72359e-007,-1.609
-9.72109e-007,-1.60833
-9.71859e-007,-1.60833
-9.71609e-007,-1.60833
-9.71359e-007,-1.609
-9.71109e-007,-1.609
-9.70859e-007,-1.609
-9.70609e-007,-1.609
-9.70359e-007,-1.609
-9.70109e-007,-1.609
-9.69859e-007,-1.609
-9.69609e-007,-1.609
-9.69359e-007,-1.609
-9.69109e-007,-1.609
-9.68859e-007,-1.609
-9.68609e-007,-1.609
-9.68359e-007,-1.609
-9.68109e-007,-1.609
-9.67859e-007,-1.609
-9.67609e-007,-1.609
-9.67359e-007,-1.609
-9.67109e-007,-1.609
-9.66859e-007,-1.609
-9.66609e-007,-1.609
-9.66359e-007,-1.609
-9.66109e-007,-1.609
-9.65859e-007,-1.609
-9.65609e-007,-1.609
-9.65359e-007,-1.609
-9.65109e-007,-1.609
-9.64859e-007,-1.609
-9.64609e-007,-1.609
-9.64359e-007,-1.609
-9.64109e-007,-1.609
-9.63859e-007,-1.609
-9.63609e-007,-1.609
-9.63359e-007,-1.609
-9.63109e-007,-1.609
-9.62859e-007,-1.609
-9.62609e-007,-1.609
-9.62359e-007,-1.60967
-9.62109e-007,-1.609
-9.61859e-007,-1.609
-9.61609e-007,-1.609
-9.61359e-007,-1.60967
-9.61109e-007,-1.609
-9.60859e-007,-1.609
-9.60609e-007,-1.609
-9.60359e-007,-1.60967
-9.60109e-007,-1.609
-9.59859e-007,-1.609
-9.59609e-007,-1.609
-9.59359e-007,-1.60967
-9.59109e-007,-1.609
-9.58859e-007,-1.609
-9.58609e-007,-1.609
-9.58359e-007,-1.609
-9.58109e-007,-1.609
-9.57859e-007,-1.609
-9.57609e-007,-1.609
-9.57359e-007,-1.609
-9.57109e-007,-1.609
-9.56859e-007,-1.609
-9.56609e-007,-1.609
-9.56359e-007,-1.609
-9.56109e-007,-1.609
-9.55859e-007,-1.609
-9.55609e-007,-1.609
-9.55359e-007,-1.609
-9.55109e-007,-1.609
-9.54859e-007,-1.609
-9.54609e-007,-1.609
-9.54359e-007,-1.609
-9.54109e-007,-1.609
-9.53859e-007,-1.609
-9.53609e-007,-1.609
-9.53359e-007,-1.609
-9.53109e-007,-1.609
-9.52859e-007,-1.609
-9.52609e-007,-1.609
-9.52359e-007,-1.609
-9.52109e-007,-1.609
-9.51859e-007,-1.609
-9.51609e-007,-1.60833
-9.51359e-007,-1.609
-9.51109e-007,-1.609
-9.50859e-007,-1.609
-9.50609e-007,-1.60833
-9.50359e-007,-1.609
-9.50109e-007,-1.609
-9.49859e-007,-1.609
-9.49609e-007,-1.60833
-9.49359e-007,-1.609
-9.49109e-007,-1.609
-9.48859e-007,-1.609
-9.48609e-007,-1.60833
-9.48359e-007,-1.609
-9.48109e-007,-1.609
-9.47859e-007,-1.60833
-9.47609e-007,-1.60833
-9.47359e-007,-1.609
-9.47109e-007,-1.609
-9.46859e-007,-1.609
-9.46609e-007,-1.609
-9.46359e-007,-1.609
-9.46109e-007,-1.609
-9.45859e-007,-1.609
-9.45609e-007,-1.60833
-9.45359e-007,-1.609
-9.45109e-007,-1.609
-9.44859e-007,-1.609
-9.44609e-007,-1.609
-9.44359e-007,-1.609
-9.44109e-007,-1.60833
-9.43859e-007,-1.609
-9.43609e-007,-1.609
-9.43359e-007,-1.609
-9.43109e-007,-1.60833
-9.42859e-007,-1.609
-9.42609e-007,-1.60833
-9.42359e-007,-1.609
-9.42109e-007,-1.60833
-9.41859e-007,-1.60833
-9.41609e-007,-1.60833
-9.41359e-007,-1.609
-9.41109e-007,-1.60833
-9.40859e-007,-1.60833
-9.40609e-007,-1.60833
-9.40359e-007,-1.609
-9.40109e-007,-1.60833
-9.39859e-007,-1.60833
-9.39609e-007,-1.60833
-9.39359e-007,-1.609
-9.39109e-007,-1.60833
-9.38859e-007,-1.60833
-9.38609e-007,-1.60833
-9.38359e-007,-1.609
-9.38109e-007,-1.60833
-9.37859e-007,-1.609
-9.37609e-007,-1.60833
-9.37359e-007,-1.609
-9.37109e-007,-1.60833
-9.36859e-007,-1.609
-9.36609e-007,-1.60833
-9.36359e-007,-1.609
-9.36109e-007,-1.60833
-9.35859e-007,-1.609
-9.35609e-007,-1.60833
-9.35359e-007,-1.609
-9.35109e-007,-1.60833
-9.34859e-007,-1.60833
-9.34609e-007,-1.60833
-9.34359e-007,-1.609
-9.34109e-007,-1.60833
-9.33859e-007,-1.60833
-9.33609e-007,-1.60833
-9.33359e-007,-1.609
-9.33109e-007,-1.60833
-9.32859e-007,-1.60833
-9.32609e-007,-1.60833
-9.32359e-007,-1.609
-9.32109e-007,-1.60833
-9.31859e-007,-1.60833
-9.31609e-007,-1.60833
-9.31359e-007,-1.609
-9.31109e-007,-1.60833
-9.30859e-007,-1.609
-9.30609e-007,-1.60833
-9.30359e-007,-1.609
-9.30109e-007,-1.609
-9.29859e-007,-1.60833
-9.29609e-007,-1.60833
-9.29359e-007,-1.609
-9.29109e-007,-1.609
-9.28859e-007,-1.609
-9.28609e-007,-1.60833
-9.28359e-007,-1.609
-9.28109e-007,-1.609
-9.27859e-007,-1.609
-9.27609e-007,-1.609
-9.27359e-007,-1.609
-9.27109e-007,-1.609
-9.26859e-007,-1.609
-9.26609e-007,-1.609
-9.26359e-007,-1.609
-9.26109e-007,-1.609
-9.25859e-007,-1.609
-9.25609e-007,-1.609
-9.25359e-007,-1.609
-9.25109e-007,-1.609
-9.24859e-007,-1.609
-9.24609e-007,-1.609
-9.24359e-007,-1.609
-9.24109e-007,-1.609
-9.23859e-007,-1.60833
-9.23609e-007,-1.60833
-9.23359e-007,-1.609
-9.23109e-007,-1.609
-9.22859e-007,-1.60833
-9.22609e-007,-1.60833
-9.22359e-007,-1.609
-9.22109e-007,-1.609
-9.21859e-007,-1.60833
-9.21609e-007,-1.60833
-9.21359e-007,-1.609
-9.21109e-007,-1.609
-9.20859e-007,-1.609
-9.20609e-007,-1.60833
-9.20359e-007,-1.609
-9.20109e-007,-1.609
-9.19859e-007,-1.609
-9.19609e-007,-1.609
-9.19359e-007,-1.609
-9.19109e-007,-1.609
-9.18859e-007,-1.609
-9.18609e-007,-1.609
-9.18359e-007,-1.609
-9.18109e-007,-1.609
-9.17859e-007,-1.609
-9.17609e-007,-1.609
-9.17359e-007,-1.609
-9.17109e-007,-1.609
-9.16859e-007,-1.609
-9.16609e-007,-1.609
-9.16359e-007,-1.609
-9.16109e-007,-1.609
-9.15859e-007,-1.609
-9.15609e-007,-1.609
-9.15359e-007,-1.609
-9.15109e-007,-1.609
-9.14859e-007,-1.609
-9.14609e-007,-1.609
-9.14359e-007,-1.609
-9.14109e-007,-1.609
-9.13859e-007,-1.609
-9.13609e-007,-1.609
-9.13359e-007,-1.609
-9.13109e-007,-1.609
-9.12859e-007,-1.60833
