LECROYWS3034z,45662,Waveform
Segments,1,SegmentSize,80002
Segment,TrigTime,TimeSinceSegment1
#1,25-Sep-2022 04:17:37,0                 
Time,Ampl
-1.3080099e-005,-0.874
-1.3079849e-005,-0.875667
-1.3079599e-005,-0.875667
-1.3079349e-005,-0.874
-1.3079099e-005,-0.874
-1.3078849e-005,-0.875667
-1.3078599e-005,-0.875667
-1.3078349e-005,-0.874
-1.3078099e-005,-0.874
-1.3077849e-005,-0.875667
-1.3077599e-005,-0.875667
-1.3077349e-005,-0.874
-1.3077099e-005,-0.874
-1.3076849e-005,-0.875667
-1.3076599e-005,-0.875667
-1.3076349e-005,-0.874
-1.3076099e-005,-0.874
-1.3075849e-005,-0.875667
-1.3075599e-005,-0.875667
-1.3075349e-005,-0.874
-1.3075099e-005,-0.874
-1.3074849e-005,-0.875667
-1.3074599e-005,-0.875667
-1.3074349e-005,-0.874
-1.3074099e-005,-0.874
-1.3073849e-005,-0.875667
-1.3073599e-005,-0.875667
-1.3073349e-005,-0.874
-1.3073099e-005,-0.874
-1.3072849e-005,-0.874
-1.3072599e-005,-0.875667
-1.3072349e-005,-0.874
-1.3072099e-005,-0.874
-1.3071849e-005,-0.874
-1.3071599e-005,-0.875667
-1.3071349e-005,-0.874
-1.3071099e-005,-0.874
-1.3070849e-005,-0.874
-1.3070599e-005,-0.875667
-1.3070349e-005,-0.874
-1.3070099e-005,-0.874
-1.3069849e-005,-0.874
-1.3069599e-005,-0.875667
-1.3069349e-005,-0.874
-1.3069099e-005,-0.874
-1.3068849e-005,-0.874
-1.3068599e-005,-0.875667
-1.3068349e-005,-0.874
-1.3068099e-005,-0.874
-1.3067849e-005,-0.874
-1.3067599e-005,-0.875667
-1.3067349e-005,-0.874
-1.3067099e-005,-0.874
-1.3066849e-005,-0.874
-1.3066599e-005,-0.875667
-1.3066349e-005,-0.874
-1.3066099e-005,-0.874
-1.3065849e-005,-0.874
-1.3065599e-005,-0.875667
-1.3065349e-005,-0.874
-1.3065099e-005,-0.874
-1.3064849e-005,-0.874
-1.3064599e-005,-0.875667
-1.3064349e-005,-0.874
-1.3064099e-005,-0.874
-1.3063849e-005,-0.874
-1.3063599e-005,-0.875667
-1.3063349e-005,-0.874
-1.3063099e-005,-0.874
-1.3062849e-005,-0.874
-1.3062599e-005,-0.875667
-1.3062349e-005,-0.874
-1.3062099e-005,-0.874
-1.3061849e-005,-0.874
-1.3061599e-005,-0.875667
-1.3061349e-005,-0.874
-1.3061099e-005,-0.874
-1.3060849e-005,-0.874
-1.3060599e-005,-0.875667
-1.3060349e-005,-0.874
-1.3060099e-005,-0.874
-1.3059849e-005,-0.875667
-1.3059599e-005,-0.875667
-1.3059349e-005,-0.874
-1.3059099e-005,-0.874
-1.3058849e-005,-0.875667
-1.3058599e-005,-0.875667
-1.3058349e-005,-0.874
-1.3058099e-005,-0.874
-1.3057849e-005,-0.875667
-1.3057599e-005,-0.875667
-1.3057349e-005,-0.874
-1.3057099e-005,-0.874
-1.3056849e-005,-0.875667
-1.3056599e-005,-0.875667
-1.3056349e-005,-0.874
-1.3056099e-005,-0.874
-1.3055849e-005,-0.874
-1.3055599e-005,-0.875667
-1.3055349e-005,-0.874
-1.3055099e-005,-0.874
